RESERVOIR node 0 HJELLE
reservoir_init_fr= 0.67000  masl=751.678
Filling at HRW [Mm3] = 12.03297
Filling at LRW [Mm3] = 3.00824
Active reservoir capacity [Mm3] = 9.02473
outlet_auto_qmin_masl [masl] = 745.500
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2023 12 2 14 1.2000 83.9711 0.0000 0.0000 9.0408 754.0160 0.6684 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 2 15 1.2000 88.4667 0.0000 0.0000 9.0404 754.0156 0.6684 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 2 16 1.2000 90.0000 0.0000 0.0000 9.0400 754.0153 0.6684 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 2 17 1.2000 88.4667 0.0000 0.0000 9.0397 754.0149 0.6683 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 2 18 1.2000 83.9711 0.0000 0.0000 9.0393 754.0146 0.6683 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 2 19 1.2000 76.8198 0.0000 0.0000 9.0390 754.0142 0.6682 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 2 20 1.2000 67.5000 0.0000 0.0000 9.0386 754.0138 0.6682 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 2 21 1.2000 56.6469 0.0000 0.0000 9.0382 754.0135 0.6682 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 2 22 1.2000 45.0000 0.0000 0.0000 9.0379 754.0131 0.6681 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 2 23 1.2000 33.3531 0.0000 0.0000 9.0375 754.0128 0.6681 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 3 0 1.2000 22.5000 0.0000 0.0000 9.0372 754.0124 0.6680 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 3 1 1.2000 13.1802 0.0000 0.0000 9.0368 754.0120 0.6680 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 3 2 1.2000 6.0289 0.0000 0.0000 9.0364 754.0117 0.6680 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 3 3 1.2000 1.5333 0.0000 0.0000 9.0361 754.0113 0.6679 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
