Riversystem mini_uTAHPS_qmin reservoir fractions [fr] 
YYYY MM DD HH HJELLE 
2023 12 9 18 0.6616 
2023 12 9 19 0.6615 
2023 12 9 20 0.6615 
2023 12 9 21 0.6615 
2023 12 9 22 0.6614 
2023 12 9 23 0.6614 
2023 12 10 0 0.6613 
2023 12 10 1 0.6613 
2023 12 10 2 0.6613 
2023 12 10 3 0.6612 
2023 12 10 4 0.6612 
2023 12 10 5 0.6611 
2023 12 10 6 0.6611 
2023 12 10 7 0.6611 
2023 12 10 8 0.6610 
2023 12 10 9 0.6610 
2023 12 10 10 0.6609 
2023 12 10 11 0.6609 
2023 12 10 12 0.6609 
2023 12 10 13 0.6608 
2023 12 10 14 0.6608 
2023 12 10 15 0.6607 
2023 12 10 16 0.6607 
2023 12 10 17 0.6607 
2023 12 10 18 0.6606 
2023 12 10 19 0.6606 
2023 12 10 20 0.6605 
2023 12 10 21 0.6605 
2023 12 10 22 0.6605 
2023 12 10 23 0.6604 
2023 12 11 0 0.6604 
2023 12 11 1 0.6603 
2023 12 11 2 0.6603 
2023 12 11 3 0.6603 
2023 12 11 4 0.6602 
2023 12 11 5 0.6602 
2023 12 11 6 0.6601 
2023 12 11 7 0.6601 
2023 12 11 8 0.6601 
2023 12 11 9 0.6600 
2023 12 11 10 0.6600 
2023 12 11 11 0.6599 
2023 12 11 12 0.6599 
2023 12 11 13 0.6599 
2023 12 11 14 0.6598 
2023 12 11 15 0.6598 
2023 12 11 16 0.6597 
2023 12 11 17 0.6597 
2023 12 11 18 0.6597 
2023 12 11 19 0.6596 
2023 12 11 20 0.6596 
2023 12 11 21 0.6595 
2023 12 11 22 0.6595 
2023 12 11 23 0.6595 
2023 12 12 0 0.6594 
2023 12 12 1 0.6594 
2023 12 12 2 0.6593 
2023 12 12 3 0.6593 
2023 12 12 4 0.6593 
2023 12 12 5 0.6592 
2023 12 12 6 0.6592 
2023 12 12 7 0.6591 
2023 12 12 8 0.6591 
2023 12 12 9 0.6591 
2023 12 12 10 0.6590 
2023 12 12 11 0.6590 
2023 12 12 12 0.6590 
2023 12 12 13 0.6589 
2023 12 12 14 0.6589 
2023 12 12 15 0.6588 
2023 12 12 16 0.6588 
2023 12 12 17 0.6588 
2023 12 12 18 0.6587 
2023 12 12 19 0.6587 
2023 12 12 20 0.6586 
2023 12 12 21 0.6586 
2023 12 12 22 0.6586 
2023 12 12 23 0.6585 
2023 12 13 0 0.6585 
2023 12 13 1 0.6584 
2023 12 13 2 0.6584 
2023 12 13 3 0.6584 
2023 12 13 4 0.6583 
2023 12 13 5 0.6583 
2023 12 13 6 0.6582 
2023 12 13 7 0.6582 
2023 12 13 8 0.6582 
2023 12 13 9 0.6581 
2023 12 13 10 0.6581 
2023 12 13 11 0.6580 
2023 12 13 12 0.6580 
2023 12 13 13 0.6580 
2023 12 13 14 0.6579 
2023 12 13 15 0.6579 
2023 12 13 16 0.6578 
2023 12 13 17 0.6578 
2023 12 13 18 0.6578 
2023 12 13 19 0.6577 
2023 12 13 20 0.6577 
2023 12 13 21 0.6576 
2023 12 13 22 0.6576 
2023 12 13 23 0.6576 
2023 12 14 0 0.6575 
2023 12 14 1 0.6575 
2023 12 14 2 0.6574 
2023 12 14 3 0.6574 
2023 12 14 4 0.6574 
2023 12 14 5 0.6573 
2023 12 14 6 0.6573 
2023 12 14 7 0.6572 
2023 12 14 8 0.6572 
2023 12 14 9 0.6572 
2023 12 14 10 0.6571 
2023 12 14 11 0.6571 
2023 12 14 12 0.6570 
2023 12 14 13 0.6570 
2023 12 14 14 0.6570 
2023 12 14 15 0.6569 
2023 12 14 16 0.6569 
2023 12 14 17 0.6568 
2023 12 14 18 0.6568 
2023 12 14 19 0.6568 
2023 12 14 20 0.6567 
2023 12 14 21 0.6567 
2023 12 14 22 0.6566 
2023 12 14 23 0.6566 
2023 12 15 0 0.6566 
2023 12 15 1 0.6565 
2023 12 15 2 0.6565 
2023 12 15 3 0.6564 
2023 12 15 4 0.6564 
2023 12 15 5 0.6564 
2023 12 15 6 0.6563 
2023 12 15 7 0.6563 
2023 12 15 8 0.6562 
2023 12 15 9 0.6562 
2023 12 15 10 0.6562 
2023 12 15 11 0.6561 
2023 12 15 12 0.6561 
2023 12 15 13 0.6560 
2023 12 15 14 0.6560 
2023 12 15 15 0.6560 
2023 12 15 16 0.6559 
2023 12 15 17 0.6559 
2023 12 15 18 0.6558 
2023 12 15 19 0.6558 
2023 12 15 20 0.6558 
2023 12 15 21 0.6557 
2023 12 15 22 0.6557 
2023 12 15 23 0.6556 
2023 12 16 0 0.6556 
2023 12 16 1 0.6556 
2023 12 16 2 0.6555 
2023 12 16 3 0.6555 
2023 12 16 4 0.6554 
2023 12 16 5 0.6554 
2023 12 16 6 0.6554 
2023 12 16 7 0.6553 
2023 12 16 8 0.6553 
2023 12 16 9 0.6552 
2023 12 16 10 0.6552 
