RESERVOIR node 5 TOPPSY
reservoir_init_fr= 0.90000  masl=650.133
Filling at HRW [Mm3] = 395.17000
Filling at LRW [Mm3] = 268.53000
Active reservoir capacity [Mm3] = 126.64000
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2022 10 10 0 3.3700 137.7100 0.0000 3.2000 385.2966 647.6659 0.9220 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 11 0 3.2800 174.3200 0.0000 3.2000 385.4487 647.7018 0.9232 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 12 0 2.7700 199.9900 0.0000 3.2000 385.5567 647.7273 0.9241 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 13 0 2.5500 233.6000 0.0000 3.2000 385.6457 647.7484 0.9248 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 14 0 2.2600 217.2400 0.0000 3.2000 385.7096 647.7635 0.9253 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 15 0 3.9400 154.6600 0.0000 3.2000 385.9187 647.8129 0.9269 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 16 0 4.7500 113.2100 0.0000 3.2000 386.1977 647.8789 0.9292 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 17 0 4.5000 146.2200 0.0000 3.2000 386.4552 647.9398 0.9312 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 18 0 4.2600 163.8200 0.0000 3.2000 386.6920 647.9957 0.9331 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 19 0 3.6700 159.7000 0.0000 3.2000 386.8777 648.0396 0.9345 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 20 0 3.0000 142.1100 0.0000 3.2000 387.0056 648.0699 0.9355 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 21 0 2.5200 157.4800 0.0000 3.2000 387.0920 648.0903 0.9362 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 22 0 2.2200 142.0700 0.0000 3.2000 387.1525 648.1046 0.9367 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 23 0 2.8100 99.6700 0.0000 3.2000 387.2639 648.1310 0.9376 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 24 0 3.3600 85.2000 0.0000 3.2000 387.4229 648.1685 0.9388 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 25 0 3.3100 110.5100 0.0000 3.2000 387.5776 648.2051 0.9400 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 26 0 5.1600 121.4900 0.0000 3.2000 387.8921 648.2794 0.9425 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 27 0 3.5900 117.6600 0.0000 3.2000 388.0709 648.3217 0.9439 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 28 0 2.9100 103.2200 0.0000 3.2000 388.1910 648.3501 0.9449 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 29 0 3.2900 101.6200 0.0000 3.2000 388.3439 648.3863 0.9461 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 30 0 2.9400 117.9300 0.0000 3.2000 388.4666 648.4153 0.9471 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 31 0 2.2000 144.1300 0.0000 3.2000 388.5254 648.4292 0.9475 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 11 1 0 2.3300 72.4900 0.0000 3.2000 388.5953 648.4457 0.9481 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
