Riversystem uTAHPS reservoir fractions [fr] 
YYYY MM DD HH HJELLE GRESSE TOPPSY KROKNESVATN 
2022 12 14 0 0.9225 0.7749 0.9813 0.7025 
2022 12 15 0 0.9384 0.7393 0.9722 0.7033 
2022 12 16 0 0.9535 0.7031 0.9626 0.7041 
2022 12 17 0 0.9679 0.6664 0.9529 0.7032 
2022 12 18 0 0.9828 0.6299 0.9433 0.7039 
2022 12 19 0 0.9989 0.5940 0.9336 0.7042 
2022 12 20 0 1.0000 0.5599 0.9291 0.7036 
2022 12 21 0 1.0000 0.5324 0.9306 0.7038 
2022 12 22 0 1.0000 0.5052 0.9331 0.7031 
2022 12 23 0 1.0000 0.4735 0.9322 0.7008 
2022 12 24 0 1.0000 0.4380 0.9281 0.6978 
2022 12 25 0 1.0000 0.4008 0.9223 0.6977 
2022 12 26 0 1.0000 0.3713 0.9224 0.6986 
2022 12 27 0 1.0000 0.3854 0.9213 0.6928 
2022 12 28 0 1.0000 0.3958 0.9173 0.6919 
2022 12 29 0 1.0000 0.4060 0.9126 0.6911 
2022 12 30 0 1.0000 0.4154 0.9073 0.6885 
2022 12 31 0 1.0000 0.4281 0.9047 0.6883 
2023 1 1 0 1.0000 0.4383 0.9003 0.6857 
2023 1 2 0 1.0000 0.4472 0.8947 0.6803 
2023 1 3 0 1.0000 0.4552 0.8882 0.6759 
2023 1 4 0 1.0000 0.4627 0.8812 0.6720 
2023 1 5 0 1.0000 0.4721 0.8756 0.6653 
2023 1 6 0 1.0000 0.4804 0.8694 0.6613 
2023 1 7 0 1.0000 0.4889 0.8633 0.6568 
2023 1 8 0 1.0000 0.5082 0.8662 0.6581 
2023 1 9 0 1.0000 0.5371 0.8776 0.6558 
2023 1 10 0 1.0000 0.5582 0.8833 0.6543 
2023 1 11 0 1.0000 0.5754 0.8853 0.6506 
2023 1 12 0 1.0000 0.5903 0.8850 0.6499 
2023 1 13 0 1.0000 0.6028 0.8828 0.6486 
2023 1 14 0 1.0000 0.6136 0.8789 0.6439 
2023 1 15 0 1.0000 0.6238 0.8744 0.6400 
2023 1 16 0 1.0000 0.6336 0.8696 0.6381 
2023 1 17 0 1.0000 0.6429 0.8643 0.6358 
2023 1 18 0 1.0000 0.6523 0.8591 0.6324 
2023 1 19 0 1.0000 0.6604 0.8529 0.6303 
2023 1 20 0 1.0000 0.6683 0.8463 0.6246 
2023 1 21 0 1.0000 0.6757 0.8393 0.6238 
2023 1 22 0 1.0000 0.6829 0.8321 0.6231 
2023 1 23 0 1.0000 0.6911 0.8256 0.6194 
2023 1 24 0 1.0000 0.6985 0.8186 0.6160 
2023 1 25 0 1.0000 0.6601 0.8117 0.6159 
2023 1 26 0 1.0000 0.6227 0.8057 0.6176 
2023 1 27 0 1.0000 0.6063 0.8057 0.6163 
2023 1 28 0 1.0000 0.6138 0.8124 0.6156 
2023 1 29 0 1.0000 0.6209 0.8187 0.6137 
2023 1 30 0 1.0000 0.6289 0.8256 0.6114 
2023 1 31 0 1.0000 0.6364 0.8323 0.6119 
2023 2 1 0 1.0000 0.6434 0.8385 0.6117 
2023 2 2 0 1.0000 0.6516 0.8457 0.6080 
2023 2 3 0 1.0000 0.6587 0.8520 0.6052 
2023 2 4 0 1.0000 0.6647 0.8573 0.6005 
2023 2 5 0 1.0000 0.6702 0.8623 0.5995 
2023 2 6 0 1.0000 0.6754 0.8669 0.5951 
2023 2 7 0 1.0000 0.6803 0.8712 0.5903 
2023 2 8 0 1.0000 0.6850 0.8753 0.5848 
2023 2 9 0 1.0000 0.6903 0.8800 0.5806 
2023 2 10 0 1.0000 0.6961 0.8851 0.5773 
2023 2 11 0 1.0000 0.7022 0.8905 0.5776 
