CHANNEL node 2 VANAROSEN
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 4.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2022 12 9 0 3.2000 0.04608000 3.2000 0.0000 
2022 12 10 0 3.2000 0.04608000 3.2000 0.0000 
2022 12 11 0 3.2000 0.04608000 3.2000 0.0000 
2022 12 12 0 0.0000 0.00251259 0.5043 0.0000 
2022 12 13 0 0.0000 0.00004741 0.0285 0.0000 
2022 12 14 0 0.0000 0.00000000 0.0005 0.0000 
2022 12 15 0 0.0000 0.00000000 0.0000 0.0000 
2022 12 16 0 0.0000 0.00000000 0.0000 0.0000 
2022 12 17 0 0.0000 0.00000000 0.0000 0.0000 
2022 12 18 0 0.0000 0.00000000 0.0000 0.0000 
2022 12 19 0 0.0000 0.00000000 0.0000 0.0000 
2022 12 20 0 2.0200 0.02750192 1.7017 0.0000 
2022 12 21 0 3.7500 0.05261170 3.4594 0.0000 
2022 12 22 0 3.8700 0.05560815 3.8353 0.0000 
2022 12 23 0 2.8700 0.04211141 3.0262 0.0000 
2022 12 24 0 2.0500 0.03017867 2.1881 0.0000 
2022 12 25 0 1.6800 0.02449467 1.7458 0.0000 
2022 12 26 0 3.1400 0.04407511 2.9134 0.0000 
2022 12 27 0 2.5100 0.03661704 2.5963 0.0000 
2022 12 28 0 1.8100 0.02662296 1.9257 0.0000 
2022 12 29 0 1.8000 0.02593822 1.8079 0.0000 
2022 12 30 0 1.6500 0.02387793 1.6738 0.0000 
2022 12 31 0 2.0900 0.02975274 2.0220 0.0000 
2023 1 1 0 1.7100 0.02491585 1.7660 0.0000 
2023 1 2 0 1.4900 0.02163437 1.5280 0.0000 
2023 1 3 0 1.3500 0.01955319 1.3741 0.0000 
2023 1 4 0 1.2500 0.01808059 1.2670 0.0000 
2023 1 5 0 1.7200 0.02440044 1.6469 0.0000 
2023 1 6 0 1.4600 0.02122119 1.4968 0.0000 
2023 1 7 0 1.4800 0.02130015 1.4791 0.0000 
2023 1 8 0 2.9300 0.04105319 2.7014 0.0000 
2023 1 9 0 4.2600 0.06027823 4.0375 0.0000 
2023 1 10 0 3.1400 0.04607571 3.3044 0.0000 
2023 1 11 0 2.6000 0.03788059 2.6949 0.0000 
2023 1 12 0 2.2400 0.03254667 2.3017 0.0000 
2023 1 13 0 1.9100 0.02776844 1.9653 0.0000 
