CHANNEL node 8 DALSANA
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 6.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2022 12 9 0 10.6421 0.23029956 10.6431 0.0000 
2022 12 10 0 10.3773 0.22463078 10.4429 0.0000 
2022 12 11 0 10.2258 0.22115617 10.2660 0.0000 
2022 12 12 0 9.5200 0.20687486 9.6853 0.0000 
2022 12 13 0 9.5200 0.20566731 9.5340 0.0000 
2022 12 14 0 9.5200 0.20563200 9.5204 0.0000 
2022 12 15 0 9.5200 0.20563200 9.5200 0.0000 
2022 12 16 0 9.5200 0.20563200 9.5200 0.0000 
2022 12 17 0 9.5200 0.20563200 9.5200 0.0000 
2022 12 18 0 9.5200 0.20563200 9.5200 0.0000 
2022 12 19 0 9.5200 0.20563200 9.5200 0.0000 
2022 12 20 0 9.5200 0.20563200 9.5200 0.0000 
2022 12 21 0 9.5200 0.20563200 9.5200 0.0000 
2022 12 22 0 9.5200 0.20563200 9.5200 0.0000 
2022 12 23 0 9.5200 0.20563200 9.5200 0.0000 
2022 12 24 0 9.5200 0.20563200 9.5200 0.0000 
2022 12 25 0 9.5200 0.20563200 9.5200 0.0000 
2022 12 26 0 9.5200 0.20563200 9.5200 0.0000 
2022 12 27 0 4.7200 0.11035254 5.8228 0.0000 
2022 12 28 0 4.7200 0.10219210 4.8144 0.0000 
2022 12 29 0 4.7200 0.10195201 4.7228 0.0000 
2022 12 30 0 4.7200 0.10195200 4.7200 0.0000 
2022 12 31 0 4.7200 0.10195200 4.7200 0.0000 
2023 1 1 0 4.7200 0.10195200 4.7200 0.0000 
2023 1 2 0 4.7200 0.10195200 4.7200 0.0000 
2023 1 3 0 4.7200 0.10195200 4.7200 0.0000 
2023 1 4 0 4.7200 0.10195200 4.7200 0.0000 
2023 1 5 0 4.7200 0.10195200 4.7200 0.0000 
2023 1 6 0 4.7200 0.10195200 4.7200 0.0000 
2023 1 7 0 4.7200 0.10195200 4.7200 0.0000 
2023 1 8 0 4.7200 0.10195200 4.7200 0.0000 
2023 1 9 0 4.7200 0.10195200 4.7200 0.0000 
2023 1 10 0 4.7200 0.10195200 4.7200 0.0000 
2023 1 11 0 4.7200 0.10195200 4.7200 0.0000 
2023 1 12 0 4.7200 0.10195200 4.7200 0.0000 
2023 1 13 0 4.7200 0.10195200 4.7200 0.0000 
2023 1 14 0 4.7200 0.10195200 4.7200 0.0000 
