Riversystem Res_Casc_B reservoir fractions [fr] 
YYYY MM DD HH YVATN HJELLE 
2026 5 7 0 0.7716 0.8485 
2026 5 7 1 0.7431 0.8970 
2026 5 7 2 0.7147 0.9455 
2026 5 7 3 0.6863 0.9940 
2026 5 7 4 0.6606 1.0424 
2026 5 7 5 0.6349 1.0909 
2026 5 7 6 0.8920 1.5755 
2026 5 7 7 0.8666 1.6237 
2026 5 7 8 0.8411 1.6719 
2026 5 7 9 0.8157 1.7201 
2026 5 7 10 0.7903 1.7683 
2026 5 7 11 0.7646 1.8164 
